track_name,track_artist,track_popularity,track_album_name,track_album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,release_year,release_month,release_day,key_name,duration_min,duration_sec
Adore You,Harry Styles,91,Adore You,2019-12-06,0.676,0.771,8,-3.675,1,0.0483,0.0237,7e-06,0.102,0.569,99.048,207133,2019,12,6,G#/Ab,3.4522166666666667,207.133
Lose Control,MEDUZA,91,Lose Control,2019-10-11,0.598,0.526,10,-8.659,0,0.0415,0.129,0.0,0.14,0.529,123.935,168387,2019,10,11,A#/Bb,2.80645,168.387
Ayy Macarena,Tyga,91,Ayy Macarena,2019-11-13,0.816,0.63,2,-5.568,1,0.226,0.133,0.0,0.0692,0.715,96.493,131607,2019,11,13,D,2.19345,131.607
Lalala,Y2K,91,Lalala,2019-06-28,0.843,0.391,2,-7.899,1,0.0845,0.181,0.0,0.137,0.496,129.972,160627,2019,6,28,D,2.677116666666667,160.627
"10,000 Hours (with Justin Bieber)",Dan + Shay,91,"10,000 Hours (with Justin Bieber)",2019-10-04,0.654,0.63,10,-4.644,1,0.0259,0.153,0.0,0.111,0.43,89.991,167693,2019,10,4,A#/Bb,2.7948833333333334,167.693
Before You Go,Lewis Capaldi,90,Before You Go,2019-11-19,0.459,0.575,3,-4.858,1,0.0573,0.604,0.0,0.0885,0.183,111.881,215107,2019,11,19,D#/Eb,3.5851166666666665,215.107
Adicto (with Anuel AA & Ozuna),Tainy,90,Adicto (with Anuel AA & Ozuna),2019-08-22,0.734,0.836,10,-4.803,0,0.0735,0.017,1.64e-05,0.179,0.623,80.002,270741,2019,8,22,A#/Bb,4.51235,270.741
Sigues Con El,Dimelo Flow,90,Sigues Con El,2019-12-13,0.883,0.668,9,-2.957,1,0.113,0.11,0.000529,0.0734,0.676,87.972,226533,2019,12,13,A,3.77555,226.533
Goodbyes (feat. Young Thug),Post Malone,90,Hollywood's Bleeding,2019-09-06,0.548,0.653,5,-3.875,1,0.081,0.456,0.0,0.103,0.163,150.068,174853,2019,9,6,F,2.914216666666667,174.853
Watermelon Sugar,Harry Styles,90,Watermelon Sugar,2019-11-17,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,174000,2019,11,17,C,2.9,174.0
I Don't Care (with Justin Bieber),Ed Sheeran,90,I Don't Care (with Justin Bieber),2019-05-10,0.798,0.675,6,-5.041,1,0.0442,0.0912,0.0,0.0894,0.842,101.956,219947,2019,5,10,F#/Gb,3.665783333333333,219.947
All I Want for Christmas Is You,Mariah Carey,90,Merry Christmas,1994-11-01,0.335,0.625,7,-7.462,1,0.0386,0.164,0.0,0.0708,0.346,150.277,241107,1994,11,1,G,4.01845,241.107
Que Tire Pa Lante,Daddy Yankee,90,Que Tire Pa Lante,2019-10-18,0.658,0.901,7,-2.814,1,0.0357,0.0478,0.0,0.12,0.708,93.979,210520,2019,10,18,G,3.508666666666667,210.52
Ballin' (with Roddy Ricch),Mustard,90,Perfect Ten,2019-06-28,0.809,0.545,7,-6.678,1,0.0735,0.392,0.0,0.151,0.244,97.008,180435,2019,6,28,G,3.00725,180.435
7 rings,Ariana Grande,90,"thank u, next",2019-02-08,0.778,0.317,1,-10.732,0,0.334,0.592,0.0,0.0881,0.327,140.048,178627,2019,2,8,C#/Db,2.977116666666667,178.627
Whine Up,Nicky Jam,90,Intimo,2019-11-01,0.817,0.665,9,-6.224,0,0.0758,0.0549,0.0,0.103,0.662,104.957,215460,2019,11,1,A,3.591,215.46
Trampoline (with ZAYN),SHAED,90,Trampoline (with ZAYN),2019-09-26,0.619,0.459,7,-5.782,0,0.0334,0.56,0.0,0.137,0.498,126.803,184280,2019,9,26,G,3.0713333333333335,184.28
Callaita,Bad Bunny,90,Callaita,2019-05-31,0.61,0.624,2,-4.773,1,0.309,0.6,2.12e-06,0.243,0.244,176.169,250534,2019,5,31,D,4.175566666666667,250.534
Suicidal,YNW Melly,90,Melly vs. Melvin,2019-11-22,0.736,0.369,9,-9.682,0,0.0688,0.334,0.0,0.126,0.235,140.005,222997,2019,11,22,A,3.716616666666667,222.997
Ransom,Lil Tecca,90,We Love You Tecca,2019-08-30,0.745,0.642,7,-6.257,0,0.287,0.0204,0.0,0.0658,0.226,179.974,131240,2019,8,30,G,2.1873333333333336,131.24
Yellow Hearts,Ant Saunders,89,Yellow Hearts,2019-06-18,0.865,0.438,7,-8.943,1,0.0719,0.177,0.0,0.0743,0.695,129.038,223258,2019,6,18,G,3.720966666666667,223.258
Beautiful People (feat. Khalid),Ed Sheeran,89,Beautiful People (feat. Khalid),2019-06-28,0.64,0.648,5,-8.113,0,0.187,0.124,0.0,0.0802,0.548,92.977,197867,2019,6,28,F,3.2977833333333333,197.867
It's You,Ali Gatie,89,YOU,2019-11-08,0.732,0.463,11,-6.972,0,0.0287,0.374,0.0,0.194,0.397,95.971,212607,2019,11,8,B,3.54345,212.607
lovely (with Khalid),Billie Eilish,89,lovely (with Khalid),2018-04-19,0.351,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284,200186,2018,4,19,E,3.3364333333333334,200.186
Aventura,Lunay,89,Épico,2019-10-25,0.729,0.726,5,-3.208,1,0.0422,0.223,0.0,0.101,0.876,92.025,217130,2019,10,25,F,3.6188333333333333,217.13
Happier,Marshmello,89,Happier,2018-08-17,0.687,0.792,5,-2.749,1,0.0452,0.191,0.0,0.167,0.671,100.015,214290,2018,8,17,F,3.5715,214.29
Without Me,Halsey,88,Without Me,2018-10-04,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,201661,2018,10,4,F#/Gb,3.3610166666666665,201.661
Quizas,Rich Music LTD,88,The Academy,2019-10-11,0.727,0.815,3,-2.454,1,0.153,0.0258,0.0,0.231,0.677,176.075,216067,2019,10,11,D#/Eb,3.601116666666667,216.067
Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,88,Carte Blanche,2019-07-25,0.694,0.758,11,-2.986,1,0.218,0.278,1.34e-06,0.102,0.371,192.091,185195,2019,7,25,B,3.086583333333333,185.195
rockstar (feat. 21 Savage),Post Malone,88,beerbongs & bentleys,2018-04-27,0.585,0.52,5,-6.136,0,0.0712,0.124,7.01e-05,0.131,0.129,159.801,218147,2018,4,27,F,3.6357833333333334,218.147
Tutu,Camilo,88,Tutu,2019-08-09,0.731,0.832,9,-2.592,1,0.0503,0.273,0.0,0.0665,0.94,146.013,178613,2019,8,9,A,2.9768833333333333,178.613
Say So,Doja Cat,88,Hot Pink,2019-11-07,0.787,0.673,11,-4.577,0,0.158,0.256,3.57e-06,0.0904,0.786,110.962,237893,2019,11,7,B,3.9648833333333333,237.893
Rare,Selena Gomez,88,Rare,2020-01-10,0.838,0.545,5,-6.713,1,0.0706,0.208,8.01e-05,0.103,0.631,114.998,220590,2020,1,10,F,3.6765,220.59
Money In The Grave (Drake ft. Rick Ross),Drake,88,The Best In The World Pack,2019-06-15,0.831,0.502,10,-4.045,0,0.046,0.101,0.0,0.122,0.101,100.541,205427,2019,6,15,A#/Bb,3.423783333333333,205.427
Piece Of Your Heart,MEDUZA,88,Piece Of Your Heart,2019-02-01,0.677,0.744,10,-6.806,0,0.0295,0.0404,0.00016,0.074,0.631,124.08,152913,2019,2,1,A#/Bb,2.54855,152.913
Own It (feat. Ed Sheeran & Burna Boy),Stormzy,88,Heavy Is The Head,2019-12-13,0.817,0.781,7,-4.178,0,0.112,0.00838,5.21e-06,0.123,0.359,104.0,216707,2019,12,13,G,3.6117833333333333,216.707
Shallow,Lady Gaga,88,A Star Is Born Soundtrack,2018-10-05,0.572,0.385,7,-6.362,1,0.0308,0.371,0.0,0.231,0.323,95.799,215733,2018,10,5,G,3.5955500000000002,215.733
VIBEZ,DaBaby,88,KIRK,2019-09-27,0.768,0.652,1,-2.708,0,0.307,0.113,0.0,0.107,0.777,154.187,144935,2019,9,27,C#/Db,2.415583333333333,144.935
July,Noah Cyrus,88,July,2019-07-31,0.708,0.186,9,-8.953,0,0.0422,0.868,0.0,0.0779,0.321,72.541,156107,2019,7,31,A,2.601783333333333,156.107
Woah,Lil Baby,88,Woah,2019-11-08,0.882,0.602,11,-5.554,1,0.245,0.0177,0.0,0.178,0.43,142.959,183011,2019,11,8,B,3.0501833333333335,183.011
Indeciso,Reik,88,Indeciso,2019-08-23,0.738,0.748,0,-4.902,1,0.0453,0.182,0.0,0.11,0.896,94.949,217253,2019,8,23,C,3.620883333333333,217.253
Falling,Harry Styles,88,Fine Line,2019-12-13,0.567,0.267,4,-6.502,1,0.0299,0.839,1.46e-06,0.089,0.0592,110.011,240133,2019,12,13,E,4.0022166666666665,240.133
If The World Was Ending (feat. Julia Michaels),JP Saxe,88,If The World Was Ending (feat. Julia Michaels),2019-10-17,0.464,0.473,1,-10.086,1,0.129,0.866,0.0,0.109,0.604,75.801,208687,2019,10,17,C#/Db,3.4781166666666667,208.687
"Yo x Ti, Tu x Mi",ROSALÍA,88,"Yo x Ti, Tu x Mi",2019-08-15,0.78,0.759,1,-3.292,1,0.225,0.462,0.000868,0.143,0.579,91.952,201040,2019,8,15,C#/Db,3.3506666666666667,201.04
Blanco,J Balvin,88,Blanco,2019-11-15,0.87,0.706,9,-5.395,0,0.126,0.0253,0.0063,0.0872,0.593,100.013,145800,2019,11,15,A,2.43,145.8
Si Te Vas,Sech,88,Si Te Vas,2019-09-26,0.732,0.644,0,-4.124,1,0.132,0.0934,4.54e-06,0.143,0.554,174.1,204907,2019,9,26,C,3.415116666666667,204.907
Robbery,Juice WRLD,88,Death Race For Love,2019-03-08,0.685,0.692,2,-5.122,1,0.0457,0.328,0.0,0.153,0.578,159.966,240051,2019,3,8,D,4.00085,240.051
Believer,Imagine Dragons,88,Evolve,2017-06-23,0.776,0.78,10,-4.374,0,0.128,0.0622,0.0,0.081,0.666,124.949,204347,2017,6,23,A#/Bb,3.4057833333333334,204.347
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,88,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),2018-12-14,0.76,0.479,2,-5.574,1,0.0466,0.556,0.0,0.0703,0.913,89.911,158040,2018,12,14,D,2.634,158.04
SUGAR,BROCKHAMPTON,88,GINGER,2019-08-23,0.453,0.538,1,-8.212,1,0.0638,0.449,0.0,0.19,0.516,122.973,204533,2019,8,23,C#/Db,3.4088833333333333,204.533
Hate Me (with Juice WRLD),Ellie Goulding,88,Hate Me (with Juice WRLD),2019-06-26,0.657,0.768,8,-4.628,1,0.0507,0.108,0.0,0.144,0.759,75.025,186223,2019,6,26,G#/Ab,3.1037166666666667,186.223
"thank u, next",Ariana Grande,87,"thank u, next",2019-02-08,0.717,0.653,1,-5.634,1,0.0658,0.229,0.0,0.101,0.412,106.966,207320,2019,2,8,C#/Db,3.4553333333333334,207.32
Dancing With A Stranger (with Normani),Sam Smith,87,Dancing With A Stranger (with Normani),2019-01-11,0.741,0.52,8,-7.513,1,0.0656,0.45,1.97e-06,0.222,0.347,102.998,171030,2019,1,11,G#/Ab,2.8505,171.03
Nice To Meet Ya,Niall Horan,87,Nice To Meet Ya,2019-10-04,0.591,0.841,4,-4.351,0,0.0304,0.0119,0.0,0.395,0.392,109.034,158805,2019,10,4,E,2.64675,158.805
Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,87,Hollywood's Bleeding,2019-09-06,0.499,0.8,1,-2.665,0,0.0502,0.0906,0.0,0.147,0.272,139.919,229573,2019,9,6,C#/Db,3.826216666666667,229.573
bury a friend,Billie Eilish,87,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,0.905,0.389,8,-14.505,1,0.332,0.74,0.162,0.106,0.196,120.046,193143,2019,3,29,G#/Ab,3.21905,193.143
Graveyard,Halsey,87,Graveyard,2019-09-13,0.667,0.583,11,-5.127,0,0.0747,0.231,4.48e-05,0.181,0.187,92.043,181806,2019,9,13,B,3.0301,181.806
Suge,DaBaby,87,Baby On Baby,2019-03-01,0.876,0.662,2,-6.482,0,0.426,0.0608,0.0,0.127,0.844,75.445,163320,2019,3,1,D,2.722,163.32
Con Calma,Daddy Yankee,87,Con Calma,2019-01-24,0.737,0.86,8,-2.652,0,0.0593,0.11,1.94e-06,0.0574,0.656,93.989,193227,2019,1,24,G#/Ab,3.22045,193.227
Good News,Mac Miller,87,Good News,2020-01-09,0.794,0.32,1,-12.92,0,0.173,0.853,0.134,0.112,0.241,174.088,342040,2020,1,9,C#/Db,5.700666666666667,342.04
Liar,Camila Cabello,87,Liar,2019-09-04,0.74,0.498,11,-6.684,0,0.0456,0.0169,0.00282,0.319,0.652,98.016,207039,2019,9,4,B,3.45065,207.039
Con Altura,ROSALÍA,87,Con Altura,2019-03-28,0.882,0.689,6,-4.027,1,0.124,0.39,0.00325,0.0501,0.746,97.963,161627,2019,3,28,F#/Gb,2.6937833333333336,161.627
Up All Night,Khalid,87,Up All Night,2019-11-14,0.665,0.712,1,-7.536,1,0.0527,0.00103,0.00342,0.102,0.669,93.989,157220,2019,11,14,C#/Db,2.6203333333333334,157.22
Sucker,Jonas Brothers,87,Happiness Begins,2019-06-07,0.842,0.734,1,-5.065,0,0.0588,0.0427,0.0,0.106,0.952,137.958,181027,2019,6,7,C#/Db,3.0171166666666664,181.027
OUT WEST (feat. Young Thug),JACKBOYS,87,JACKBOYS,2019-12-27,0.802,0.591,8,-4.895,1,0.225,0.0104,0.0,0.196,0.309,139.864,157712,2019,12,27,G#/Ab,2.628533333333333,157.712
SAD!,XXXTENTACION,87,?,2018-03-16,0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,166606,2018,3,16,G#/Ab,2.7767666666666666,166.606
Higher Love,Kygo,87,Higher Love,2019-06-28,0.693,0.678,8,-7.159,1,0.0324,0.0154,6.05e-06,0.101,0.404,103.952,228267,2019,6,28,G#/Ab,3.80445,228.267
Psycho,Red Velvet,87,‘The ReVe Festival’ Finale,2019-12-23,0.664,0.666,8,-2.203,1,0.0446,0.193,0.0,0.0854,0.405,139.987,210560,2019,12,23,G#/Ab,3.509333333333333,210.56
Better Now,Post Malone,87,beerbongs & bentleys,2018-04-27,0.68,0.578,10,-5.804,1,0.04,0.331,0.0,0.135,0.341,145.038,231267,2018,4,27,A#/Bb,3.85445,231.267
Sweet but Psycho,Ava Max,87,Sweet but Psycho,2018-08-17,0.719,0.704,1,-4.724,1,0.0476,0.0691,0.0,0.166,0.628,133.002,187436,2018,8,17,C#/Db,3.1239333333333335,187.436
SICKO MODE,Travis Scott,87,ASTROWORLD,2018-08-03,0.834,0.73,8,-3.714,1,0.222,0.00513,0.0,0.124,0.446,155.008,312820,2018,8,3,G#/Ab,5.213666666666667,312.82
You Need To Calm Down,Taylor Swift,86,Lover,2019-08-23,0.771,0.671,2,-5.617,1,0.0553,0.00929,0.0,0.0637,0.714,85.026,171360,2019,8,23,D,2.8560000000000003,171.36
High Hopes,Panic! At The Disco,86,Pray for the Wicked,2018-06-22,0.579,0.904,5,-2.729,1,0.0618,0.193,0.0,0.064,0.681,82.014,190947,2018,6,22,F,3.1824500000000002,190.947
God's Plan,Drake,86,Scorpion,2018-06-29,0.754,0.449,7,-9.211,1,0.109,0.0332,8.29e-05,0.552,0.357,77.169,198973,2018,6,29,G,3.316216666666667,198.973
Turn Me On (feat. Vula),Riton,86,Turn Me On (feat. Vula),2019-09-13,0.737,0.828,11,-4.711,1,0.0396,0.0149,0.000583,0.0862,0.517,124.052,208474,2019,9,13,B,3.4745666666666666,208.474
all the good girls go to hell,Billie Eilish,86,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,0.726,0.444,8,-8.922,0,0.372,0.283,0.143,0.177,0.569,185.044,168840,2019,3,29,G#/Ab,2.814,168.84
Shape of You,Ed Sheeran,86,÷ (Deluxe),2017-03-03,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,233713,2017,3,3,C#/Db,3.8952166666666668,233.713
Moonlight,XXXTENTACION,86,?,2018-03-16,0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,135090,2018,3,16,A,2.2515,135.09
Get You The Moon (feat. Snøw),Kina,86,Get You The Moon (feat. Snøw),2018-10-08,0.498,0.235,1,-16.541,0,0.188,0.72,0.0,0.144,0.0895,118.917,179080,2018,10,8,C#/Db,2.984666666666667,179.08
Let Me Down Slowly,Alec Benjamin,86,Narrated For You,2018-11-16,0.652,0.557,1,-5.714,0,0.0318,0.74,0.0,0.124,0.483,150.073,169354,2018,11,16,C#/Db,2.822566666666667,169.354
Bruises,Lewis Capaldi,86,Divinely Uninspired To A Hellish Extent,2019-05-17,0.736,0.308,4,-7.83,1,0.0677,0.946,0.0,0.186,0.361,111.202,220492,2019,5,17,E,3.6748666666666665,220.492
Only Human,Jonas Brothers,86,Happiness Begins,2019-06-07,0.795,0.496,0,-5.883,1,0.0722,0.108,0.0,0.0645,0.874,94.01,183000,2019,6,7,C,3.05,183.0
Jocelyn Flores,XXXTENTACION,86,17,2017-08-25,0.872,0.391,0,-9.144,0,0.242,0.469,4.13e-06,0.297,0.437,134.021,119133,2017,8,25,C,1.98555,119.133
MIDDLE CHILD,J. Cole,86,MIDDLE CHILD,2019-01-23,0.837,0.364,8,-11.713,1,0.276,0.149,0.0,0.271,0.463,123.984,213594,2019,1,23,G#/Ab,3.5599,213.594
Pa' Olvidarme De Ella,Piso 21,86,Pa' Olvidarme De Ella,2019-09-06,0.728,0.542,0,-5.195,1,0.0514,0.259,0.0,0.136,0.637,90.016,227234,2019,9,6,C,3.7872333333333335,227.234
QUE PRETENDES,J Balvin,86,OASIS,2019-06-28,0.639,0.791,10,-4.443,0,0.253,0.0275,0.0,0.362,0.939,92.603,222347,2019,6,28,A#/Bb,3.7057833333333337,222.347
You should be sad,Halsey,86,You should be sad,2020-01-10,0.591,0.585,2,-6.35,1,0.0277,0.143,0.0,0.109,0.324,110.94,205473,2020,1,10,D,3.4245500000000004,205.473
3 Nights,Dominic Fike,86,"Don't Forget About Me, Demos",2018-10-16,0.815,0.518,7,-6.594,0,0.0897,0.223,0.0,0.104,0.877,151.891,177667,2018,10,16,G,2.961116666666667,177.667
All Girls Are The Same,Juice WRLD,86,Goodbye & Good Riddance,2018-12-10,0.671,0.529,0,-7.226,1,0.307,0.0769,0.000335,0.0856,0.203,161.989,165820,2018,12,10,C,2.7636666666666665,165.82
Look At Her Now,Selena Gomez,86,Look At Her Now,2019-10-24,0.563,0.564,10,-7.906,0,0.271,0.114,0.0254,0.304,0.55,154.355,162596,2019,10,24,A#/Bb,2.7099333333333333,162.596
TOES (feat. Lil Baby & Moneybagg Yo),DaBaby,86,KIRK,2019-09-27,0.816,0.582,8,-4.141,1,0.341,0.0794,5.84e-06,0.0916,0.542,160.004,136366,2019,9,27,G#/Ab,2.272766666666667,136.366
goosebumps,Travis Scott,86,Birds In The Trap Sing McKnight,2016-09-16,0.841,0.728,7,-3.37,1,0.0484,0.0847,0.0,0.149,0.43,130.049,243837,2016,9,16,G,4.06395,243.837
11 PM,Maluma,86,11:11,2019-05-17,0.777,0.712,10,-4.84,1,0.277,0.217,0.0,0.091,0.68,95.692,175733,2019,5,17,A#/Bb,2.9288833333333333,175.733
Perfect,Ed Sheeran,86,÷ (Deluxe),2017-03-03,0.599,0.448,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05,263400,2017,3,3,G#/Ab,4.39,263.4
Combatchy (feat. MC Rebecca),Anitta,85,Combatchy (feat. MC Rebecca),2019-11-20,0.826,0.73,1,-3.032,1,0.0809,0.383,0.000374,0.0197,0.605,150.134,157600,2019,11,20,C#/Db,2.6266666666666665,157.6
Family,The Chainsmokers,85,World War Joy,2019-12-06,0.584,0.607,11,-6.605,1,0.0356,0.426,0.0,0.101,0.374,117.817,194827,2019,12,6,B,3.2471166666666664,194.827
"Alone, Pt. II",Alan Walker,85,"Alone, Pt. II",2019-12-27,0.67,0.668,3,-4.306,0,0.0422,0.536,0.0,0.133,0.608,88.033,179053,2019,12,27,D#/Eb,2.9842166666666667,179.053
Mean It,Lauv,85,~how i'm feeling~,2019-11-14,0.746,0.45,7,-8.543,1,0.0872,0.0407,0.0,0.172,0.336,95.998,232853,2019,11,14,G,3.8808833333333337,232.853
idontwannabeyouanymore,Billie Eilish,85,dont smile at me,2017-12-22,0.483,0.412,7,-8.461,1,0.0402,0.737,0.0,0.116,0.247,170.163,203569,2017,12,22,G,3.3928166666666666,203.569
Say You Won't Let Go,James Arthur,85,Back from the Edge,2016-10-28,0.358,0.557,10,-7.398,1,0.059,0.695,0.0,0.0902,0.494,85.043,211467,2016,10,28,A#/Bb,3.5244500000000003,211.467
